*** New Session***
30/10/2017 14:58:38
Product Name: hr sensor
1143230296 : Tx: [80][FF][FF][FF][D4][B7][84][48]
1143230531 : Tx: [80][FF][FF][FF][29][BB][85][48]
1143230781 : Tx: [80][FF][FF][FF][29][BB][85][48]
1143231031 : Tx: [80][FF][FF][FF][29][BB][85][48]
1143231281 : Tx: [00][FF][FF][FF][29][BB][85][48]
1143231515 : Tx: [00][FF][FF][FF][7E][BE][86][48]
1143231765 : Tx: [00][FF][FF][FF][7E][BE][86][48]
1143232015 : Tx: [01][38][00][00][7E][BE][86][48]
1143232265 : Tx: [81][38][00][00][D3][C1][87][48]
1143232500 : Tx: [81][38][00][00][D3][C1][87][48]
1143232750 : Tx: [81][38][00][00][D3][C1][87][48]
1143233000 : Tx: [80][FF][FF][FF][D3][C1][87][48]
1143233250 : Tx: [00][FF][FF][FF][28][C5][88][48]
1143233484 : Tx: [00][FF][FF][FF][28][C5][88][48]
1143233734 : Tx: [00][FF][FF][FF][28][C5][88][48]
1143233984 : Tx: [00][FF][FF][FF][7D][C8][89][48]
1143234234 : Tx: [80][FF][FF][FF][7D][C8][89][48]
1143234468 : Tx: [80][FF][FF][FF][7D][C8][89][48]
1143234718 : Tx: [80][FF][FF][FF][D2][CB][8A][48]
1143234968 : Tx: [80][FF][FF][FF][D2][CB][8A][48]
1143235218 : Tx: [00][FF][FF][FF][D2][CB][8A][48]
1143235468 : Tx: [00][FF][FF][FF][D2][CB][8A][48]
1143235703 : Tx: [00][FF][FF][FF][27][CF][8B][48]
1143235953 : Tx: [00][FF][FF][FF][27][CF][8B][48]
1143236203 : Tx: [80][FF][FF][FF][27][CF][8B][48]
1143236453 : Tx: [80][FF][FF][FF][7C][D2][8C][48]
1143236687 : Tx: [80][FF][FF][FF][7C][D2][8C][48]
1143236937 : Tx: [80][FF][FF][FF][7C][D2][8C][48]
1143237187 : Tx: [00][FF][FF][FF][D1][D5][8D][48]
1143237437 : Tx: [00][FF][FF][FF][D1][D5][8D][48]
1143237671 : Tx: [00][FF][FF][FF][D1][D5][8D][48]
1143237921 : Tx: [00][FF][FF][FF][D1][D5][8D][48]
1143238171 : Tx: [80][FF][FF][FF][26][D9][8E][48]
1143238421 : Tx: [80][FF][FF][FF][26][D9][8E][48]
1143238656 : Tx: [80][FF][FF][FF][26][D9][8E][48]
1143238906 : Tx: [80][FF][FF][FF][7B][DC][8F][48]
1143239156 : Tx: [00][FF][FF][FF][7B][DC][8F][48]
1143239406 : Tx: [00][FF][FF][FF][7B][DC][8F][48]
1143239640 : Tx: [00][FF][FF][FF][7B][DC][8F][48]
1143239890 : Tx: [00][FF][FF][FF][D0][DF][90][48]
1143240140 : Tx: [80][FF][FF][FF][D0][DF][90][48]
1143240390 : Tx: [80][FF][FF][FF][D0][DF][90][48]
1143240625 : Tx: [80][FF][FF][FF][25][E3][91][48]
1143240875 : Tx: [80][FF][FF][FF][25][E3][91][48]
1143241125 : Tx: [00][FF][FF][FF][25][E3][91][48]
1143241375 : Tx: [00][FF][FF][FF][7A][E6][92][48]
1143241625 : Tx: [00][FF][FF][FF][7A][E6][92][48]
1143241859 : Tx: [00][FF][FF][FF][7A][E6][92][48]
1143242109 : Tx: [80][FF][FF][FF][7A][E6][92][48]
1143242359 : Tx: [80][FF][FF][FF][CF][E9][93][48]
1143242609 : Tx: [80][FF][FF][FF][CF][E9][93][48]
1143242843 : Tx: [80][FF][FF][FF][CF][E9][93][48]
1143243093 : Tx: [00][FF][FF][FF][24][ED][94][48]
1143243343 : Tx: [00][FF][FF][FF][24][ED][94][48]
1143243593 : Tx: [00][FF][FF][FF][24][ED][94][48]
1143243828 : Tx: [00][FF][FF][FF][24][ED][94][48]
1143244078 : Tx: [80][FF][FF][FF][79][F0][95][48]
1143244328 : Tx: [80][FF][FF][FF][79][F0][95][48]
1143244578 : Tx: [80][FF][FF][FF][79][F0][95][48]
1143244812 : Tx: [80][FF][FF][FF][CE][F3][96][48]
1143245062 : Tx: [00][FF][FF][FF][CE][F3][96][48]
1143245312 : Tx: [00][FF][FF][FF][CE][F3][96][48]
1143245562 : Tx: [00][FF][FF][FF][23][F7][97][48]
1143245796 : Tx: [00][FF][FF][FF][23][F7][97][48]
1143246046 : Tx: [80][FF][FF][FF][23][F7][97][48]
1143246296 : Tx: [80][FF][FF][FF][23][F7][97][48]
1143246546 : Tx: [80][FF][FF][FF][78][FA][98][48]
1143246781 : Tx: [80][FF][FF][FF][78][FA][98][48]
