#grade:multiplier,additional
-3.1:6.73621925368,-59.6142011504
-2.8:6.73547933205,-52.3151137505
-2.5:6.82758657157,-50.7659015468
-1.9:7.16791283511,-47.2124360374
-1.3:7.72813054844,-45.7254963441
-0.4:8.49291401968,-50.6485636679
1.4:10.0384652071,-63.3012090583
2.0:11.2716147902,-85.1845904258
2.6:11.6027596952,-85.9403857951
4.4:13.2087462506,-96.295038087
5.9:14.639315326,-109.101386444
7.4:15.9081164441,-113.828081053
8.3:16.5766988847,-116.477864867
8.3:16.9989102262,-132.06356819
